Neighborhood_ID_Name,AREA_NAME,HOOD_ID,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023,Average_Rank
1 - West Humber-Clairville,West Humber-Clairville,1,1,2,2,2,1,3,2,1,1,1,1.6
27 - York University Heights,York University Heights,27,7,7,7,7,7,7,4,4,2,9,6.1
164 - Wellington Place,Wellington Place,164,5,5,3.5,5,6,6,8,5,6,16,6.55
95 - Annex,Annex,95,9,8,9,8,8,8,7,7,8,3,7.5
73 - Moss Park,Moss Park,73,3,4,3.5,6,2,1,1,3,5,50,7.849999999999999
78 - Kensington-Chinatown,Kensington-Chinatown,78,2,1,1,1,3,5,5,9,9,59,9.5
70 - South Riverdale,South Riverdale,70,8,10,8,10,9,12,11,11,12,10,10.1
166 - St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands,166,13,16.5,15,13,10,10,9,6,7,6,10.55
168 - Downtown Yonge East,Downtown Yonge East,168,6,6,6,4,5,2,3,2,3,72,10.9
136 - West Hill,West Hill,136,11,9,10,9,11,11,13,12,11,13,11
